id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
103,Neural Machine Translation by Jointly Learning to Align and Translate,Dzmitry Bahdanau et al.,2014,CoRR,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
104,Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks,Kai Sheng Tai et al.,2015,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
105,Practical Recommendations for Gradient-Based Training of Deep Architectures,Yoshua Bengio,2012,Neural Networks,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
106,Advancing candidate link generation for requirements tracing: the study of methods,Jane Huffman Hayes et al.,2006,IEEE Transactions on Software Engineering,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
107,Can LSI help reconstructing requirements traceability in design and test?,Marco Lormans and Arie van Deursen,2006,Conference on Software Maintenance and Reengineering,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
108,A Survey on Usage Scenarios for Requirements Traceability in Practice,Elke Bouillon and Patrick M,2013,Requirements Engineering: Foundation for Software Quality,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
109,Software traceability: trends and future directions,Jane Cleland-Huang et al.,2014,Future of Software Engineering Proceedings,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
110,Empirical Evaluation of Gated Recurrent Neural Networks on Sequence Modeling,Junyoung Chung and Çaglar G,2014,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
111,A Generalized Vector Space Model for Text Retrieval Based on Semantic Relatedness,George Tsatsaronis and Vicky Panagiotopoulou,2009,Conference of the European Chapter of the Association for Computational Linguistics,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
112,Traceability recovery by modeling programmer behavior,Giuliano Antoniol et al.,2000,Proceedings Seventh Working Conference on Reverse Engineering,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
113,Safety critical systems: challenges and directions,John C. Knight,2002,International Conference on Software Engineering,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
